Player,Free Agent Year,Age,Actual AAV % Cap,Predicted AAV % Cap,Difference,Absolute Difference,Contract Evaluation,Predicted Future VORP,Future VORP Percentile,Future Production Rank,Future Production Tier,Future VORP per 1% Cap,Cap Efficiency Rank,Notes
Mohamed Diawara,2026,20.0,0.0171,0.022292427950527965,0.005192427950527965,0.005192427950527965,Fair Value,0.23636499285626034,46.2,58,Average,0.13822514202120487,36,
Kobe Brown,2026,26.0,0.0040999999999999995,0.009994336449306751,0.0058943364493067515,0.0058943364493067515,Fair Value,0.03033669298356978,21.7,84,Below Average,0.07399193410626777,59,
Larry Nance Jr.,2026,33.0,0.0235,0.029605301831487484,0.0061053018314874835,0.0061053018314874835,Fair Value,0.016587239150029742,17.9,88,Below Average,0.0070583996383105285,88,
Jordan McLaughlin,2026,29.0,0.0199,0.026176864004404318,0.006276864004404317,0.006276864004404317,Fair Value,0.20336112105120185,42.5,62,Average,0.10219151811618182,46,
Precious Achiuwa,2026,26.0,0.034,0.040527516041573106,0.006527516041573103,0.006527516041573103,Fair Value,0.17622097989424926,38.7,66,Average,0.05182969996889684,70,
David Jones-Garcia,2026,24.0,0.0040999999999999995,0.011272116918363138,0.007172116918363138,0.007172116918363138,Fair Value,0.4618333590151683,67.9,35,Average,1.1264228268662644,5,
De'Anthony Melton,2026,27.0,0.034,0.041686856449805555,0.007686856449805553,0.007686856449805553,Fair Value,0.028994656943757025,20.8,85,Below Average,0.008527840277575595,86,
Kevon Looney,2026,29.0,0.0235,0.03207246363411668,0.008572463634116678,0.008572463634116678,Fair Value,0.23538419264029528,45.3,59,Average,0.10016348622991288,47,
Hunter Dickinson,2026,25.0,0.0040999999999999995,0.014178184656249294,0.010078184656249295,0.010078184656249295,Fair Value,0.05183880339478247,25.5,80,Below Average,0.1264361058409329,43,
John Tonje,2026,24.0,0.0,0.010200454443965334,0.010200454443965334,0.010200454443965334,Fair Value,0.015574633671628646,17.0,89,Below Average,inf,1,
Trey Alexander,2026,22.0,0.0040999999999999995,0.015302151657679154,0.011202151657679155,0.011202151657679155,Fair Value,-0.04243587362590989,11.3,95,Below Average,-0.1035021307949022,100,
Jose Alvarado,2026,27.0,0.0291,0.040472874342304975,0.011372874342304974,0.011372874342304974,Fair Value,0.40900846380243977,66.0,37,Average,0.14055273670186932,35,
Moritz Wagner,2026,28.0,0.0576,0.06942489590758007,0.011824895907580069,0.011824895907580069,Fair Value,0.2467205486471918,48.1,56,Average,0.04283342858458191,73,
Harrison Barnes,2026,33.0,0.048499999999999995,0.06105715791816138,0.012557157918161387,0.012557157918161387,Fair Value,0.605717919028754,77.4,25,Above Average,0.12489029258324827,44,
Jaxson Hayes,2026,25.0,0.0364,0.04929624731039624,0.012896247310396236,0.012896247310396236,Fair Value,0.8019322524045569,84.9,17,Above Average,0.22031105835290024,19,
Andre Drummond,2026,32.0,0.0235,0.03721892052680885,0.013718920526808849,0.013718920526808849,Fair Value,0.3198204055614747,56.6,47,Average,0.1360937896006275,38,
Chaney Johnson,2026,23.0,0.0,0.014400738254684839,0.014400738254684839,0.014400738254684839,Fair Value,0.37309818532664235,61.3,42,Average,inf,1,
Jordan Goodwin,2026,27.0,0.0384,0.052835506064111644,0.014435506064111647,0.014435506064111647,Fair Value,0.9138828425376309,90.6,11,Elite,0.23799032357750805,18,
Ziaire Williams,2026,24.0,0.0173,0.03197372713174876,0.014673727131748759,0.014673727131748759,Fair Value,0.09959714032438549,33.0,72,Average,0.05757060134357543,67,
Josh Minott,2026,23.0,0.0273,0.042537370044911225,0.015237370044911224,0.015237370044911224,Fair Value,0.954827362707831,92.5,9,Elite,0.3497536127134912,14,
Branden Carlson,2026,26.0,0.0148,0.030110579678700674,0.015310579678700673,0.015310579678700673,Fair Value,0.6162387606595338,78.3,24,Above Average,0.41637754098617147,10,
Tobias Harris,2026,33.0,0.0935,0.10912818956046771,0.015628189560467715,0.015628189560467715,Fair Value,0.8126935401152071,86.8,15,Above Average,0.0869190951994874,55,
Jonathan Mogbo,2026,24.0,0.0,0.016186381626812442,0.016186381626812442,0.016186381626812442,Fair Value,0.3095634192546568,54.7,49,Average,inf,1,
